severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
MEDIUM,MARKET_SHARE_INVALID,30,,,Ens. Tablette cocktail,A2024 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,31,,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,31,first_transformation,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,31,raw_material,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,31,primary_material,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,31,,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,31,,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,31,,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,31,,,Ens. Tablette repas,A2024 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,32,,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,32,first_transformation,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,32,raw_material,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,32,primary_material,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,32,,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,32,,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,32,,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,32,,,Ens. Têtière,A2024 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,33,,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,33,first_transformation,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,33,raw_material,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,33,primary_material,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,33,,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,33,,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,33,,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,33,,,Accoudoir allée,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,34,,,Bumper version porte,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,34,first_transformation,,Bumper version porte,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,34,raw_material,,Bumper version porte,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,34,primary_material,,Bumper version porte,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,34,,,Bumper version porte,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,34,,,Bumper version porte,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,34,,,Bumper version porte,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,34,,,Bumper version porte,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,35,,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,35,first_transformation,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,35,raw_material,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,35,primary_material,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,35,,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,35,,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,35,,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,35,,,Ens. Stowage latéral,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,36,,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,36,first_transformation,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,36,raw_material,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,36,primary_material,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,36,,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,36,,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,36,,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,36,,,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,37,,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,37,first_transformation,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,37,raw_material,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,37,primary_material,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,37,,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,37,,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,37,,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,37,,,Ens. Structure fauteuil,4140 (acier),,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,38,,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,38,first_transformation,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,38,raw_material,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,38,primary_material,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,38,,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,38,,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,38,,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,38,,,Habillage sous fauteuil,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,39,,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,39,first_transformation,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,39,raw_material,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,39,primary_material,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,39,,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,39,,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,39,,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,39,,,Manchette acc. Mobile,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,40,,,Manchette équipée,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,40,first_transformation,,Manchette équipée,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,40,raw_material,,Manchette équipée,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,40,primary_material,,Manchette équipée,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,40,,,Manchette équipée,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,40,,,Manchette équipée,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,40,,,Manchette équipée,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,40,,,Manchette équipée,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,41,,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,41,first_transformation,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,41,raw_material,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,41,primary_material,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,41,,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,41,,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,41,,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,41,,,Renfort tubulaire,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,42,,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,42,first_transformation,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,42,raw_material,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,42,primary_material,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,42,,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,42,,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,42,,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,42,,,Stowage assemblé avec porte,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,43,,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,43,first_transformation,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,43,raw_material,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,43,primary_material,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,43,,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,43,,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,43,,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,43,,,Structure ottoman horizontale,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,44,,,Support écran,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,44,first_transformation,,Support écran,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,44,raw_material,,Support écran,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,44,primary_material,,Support écran,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,44,,,Support écran,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,44,,,Support écran,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,44,,,Support écran,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,44,,,Support écran,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,45,,,Support équipé,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,45,first_transformation,,Support équipé,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,45,raw_material,,Support équipé,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,45,primary_material,,Support équipé,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,45,,,Support équipé,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,45,,,Support équipé,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,45,,,Support équipé,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,45,,,Support équipé,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,46,,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,46,first_transformation,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,46,raw_material,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,46,primary_material,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,46,,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,46,,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,46,,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,46,,,Support manchette équipée,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,47,,,Support NFC,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,47,first_transformation,,Support NFC,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,47,raw_material,,Support NFC,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,47,primary_material,,Support NFC,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,47,,,Support NFC,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,47,,,Support NFC,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,47,,,Support NFC,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,47,,,Support NFC,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,48,,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,48,first_transformation,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,48,raw_material,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,48,primary_material,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,48,,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,48,,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,48,,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,48,,,Renfort tubulaire,A6060 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,49,,,Ceinture de sécurité,acier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,49,first_transformation,,Ceinture de sécurité,acier,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,49,raw_material,,Ceinture de sécurité,acier,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,49,primary_material,,Ceinture de sécurité,acier,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,49,,,Ceinture de sécurité,acier,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,49,,,Ceinture de sécurité,acier,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,49,,,Ceinture de sécurité,acier,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,49,,,Ceinture de sécurité,acier,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,50,,,Support clamps,acier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,50,first_transformation,,Support clamps,acier,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,50,raw_material,,Support clamps,acier,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,50,primary_material,,Support clamps,acier,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,50,,,Support clamps,acier,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,50,,,Support clamps,acier,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,50,,,Support clamps,acier,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,50,,,Support clamps,acier,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,51,,,Accoudoir allée,acier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,51,first_transformation,,Accoudoir allée,acier,,,,,,,,,first_transformation supplier list is empty
